"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
1,9,9,22,42,113,249,533,1047,1729,1825,1463,878,437,222,101,35,14,16,2,1
1,3,11,37,84,184,414,840,1342,1744,1593,1113,610,341,151,72,30,15,10,4,0
1,0,1,0,6,11,34,75,204,456,984,1575,1891,1493,965,489,225,126,57,33,15
7,26,46,129,323,748,1209,1785,1748,1275,756,362,176,100,43,14,9,2,4,0,2
2,12,28,64,152,384,687,1309,1708,1632,1195,712,393,193,102,48,15,11,2,0,0
1,5,7,9,26,71,178,420,872,1484,1852,1548,1063,534,264,144,57,26,11,1,2
2,2,3,6,16,28,75,150,360,753,1386,1806,1697,1152,600,356,162,91,31,20,8
2,13,32,86,162,369,719,1270,1709,1689,1228,698,363,173,77,35,11,8,4,1,0
2,1,3,5,13,23,52,88,197,395,754,1217,1659,1621,1186,727,361,201,92,38,28
3,3,4,9,16,34,109,262,536,1150,1700,1905,1360,820,415,190,89,51,18,9,6
1,9,8,28,50,106,251,580,1007,1580,1730,1360,915,486,247,120,68,33,17,5,2
1,3,2,2,2,1,1,2,5,14,28,70,130,297,599,1132,1703,1745,1279,764,472
2,2,4,3,3,3,14,30,86,183,419,770,1317,1713,1633,1128,623,339,163,62,34
4,11,24,59,109,299,601,1110,1586,1773,1389,835,456,220,135,55,28,10,5,7,3
2,1,9,11,32,59,121,246,571,993,1467,1690,1508,959,488,256,123,68,25,17,8
3,5,8,4,21,52,88,236,444,883,1498,1902,1570,1024,552,237,85,54,17,8,7
1,5,4,3,3,6,20,42,112,250,546,966,1540,1758,1424,977,512,250,139,58,35
6,16,40,97,224,486,899,1365,1662,1525,1030,642,308,184,90,33,25,14,3,1,2
2,2,6,27,67,156,358,673,1211,1632,1696,1260,837,424,218,91,37,27,15,4,5
3,6,9,11,26,90,162,387,804,1308,1759,1614,1137,647,383,202,78,44,13,1,0
1,1,6,10,40,74,198,424,879,1323,1763,1609,1062,560,323,143,85,51,25,10,3
2,22,33,70,127,321,626,1118,1646,1748,1377,809,460,215,106,51,23,12,6,2,3
3,1,2,0,6,9,20,38,87,206,433,855,1441,1782,1541,1103,640,312,134,72,38
1,1,1,5,15,25,86,171,376,692,1204,1641,1664,1269,761,390,195,90,57,24,6
2,0,7,14,37,75,245,512,957,1699,1842,1488,920,504,247,137,53,29,11,11,5
3,3,1,11,26,59,132,270,655,1076,1677,1755,1408,811,470,204,108,47,20,13,3
3,0,3,6,17,41,84,244,560,1043,1575,1757,1423,891,495,244,116,63,29,16,3
1,0,4,17,52,149,254,604,996,1446,1675,1410,957,507,263,159,88,29,16,9,4
1,6,13,56,105,254,516,979,1423,1750,1579,992,496,280,119,69,29,16,4,2,2
7,13,51,105,219,485,888,1410,1805,1572,1026,581,290,141,78,19,3,2,1,1,0
1,0,1,5,9,18,39,56,159,316,655,1111,1668,1634,1283,808,466,223,103,61,27
1,8,30,68,170,408,767,1279,1648,1651,1213,693,342,155,77,30,11,10,2,1,1
6,5,17,31,77,190,362,751,1354,1778,1670,1136,618,306,182,119,38,30,15,5,2
3,2,5,21,39,89,213,406,878,1429,1810,1573,1082,597,301,156,85,27,12,10,6
