"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
4,7,9,11,22,36,61,88,155,224,380,500,642,759,847,780,687,524,364,236,154
2,5,5,6,11,14,21,43,77,146,211,359,555,736,853,864,740,610,460,350,246
3,5,8,18,38,60,134,214,332,526,694,862,886,815,638,513,369,250,149,110,60
2,3,8,19,39,61,94,161,269,412,599,783,777,791,689,537,391,273,183,113,89
8,4,11,25,40,62,102,166,229,383,536,636,798,769,724,597,476,330,261,138,100
2,3,4,13,21,33,45,80,115,210,369,584,763,866,876,794,685,446,331,204,122
7,14,26,44,62,89,161,255,387,602,770,793,771,787,543,434,265,165,118,100,57
12,21,21,44,71,104,161,262,367,516,651,879,889,792,644,425,303,213,111,99,54
2,3,7,13,16,30,45,58,90,127,196,365,497,650,785,874,804,681,585,364,248
1,3,9,10,28,57,99,193,312,421,628,829,996,1014,818,539,362,222,158,109,75
2,7,12,23,58,77,138,210,289,445,556,742,795,770,664,541,439,312,230,111,79
3,6,6,18,27,37,37,95,163,273,376,511,658,822,874,791,653,502,345,233,163
2,1,2,3,4,5,11,36,61,95,148,280,373,566,692,823,787,650,584,415,326
6,14,23,50,66,81,120,154,212,359,442,622,796,723,771,623,474,383,237,152,83
3,9,21,33,42,62,76,131,157,254,366,557,710,821,743,799,622,392,309,217,112
3,1,2,6,10,13,14,14,27,25,41,61,100,201,248,346,399,503,620,701,661
3,4,9,15,10,21,45,106,174,207,278,461,608,685,740,829,657,540,406,317,259
2,4,5,3,1,2,8,10,17,23,33,63,88,109,201,310,416,613,774,834,788
2,2,7,11,17,15,11,30,52,79,152,252,362,524,702,866,891,814,649,519,330
1,6,14,31,64,78,129,170,322,431,535,712,789,761,646,555,392,289,171,118,83
3,1,9,10,18,22,23,38,74,97,190,313,465,639,882,985,878,705,568,361,247
6,6,10,16,20,18,20,34,58,74,116,179,260,404,587,781,888,776,689,513,416
11,1,2,4,3,2,1,4,8,10,11,15,45,66,96,187,299,431,564,828,816
4,1,3,6,22,49,81,125,208,318,438,617,715,831,805,739,587,451,325,196,129
3,2,8,18,14,36,41,85,121,162,316,480,667,817,971,834,691,520,390,261,173
2,1,4,10,17,33,66,126,182,254,376,532,646,716,862,780,651,488,342,228,150
4,8,8,20,38,66,118,178,294,435,556,806,796,839,753,579,431,305,199,142,90
3,6,5,5,13,9,12,17,51,83,133,201,313,420,599,682,860,887,764,489,361
6,8,9,10,13,19,24,53,81,122,206,332,513,693,745,841,767,610,449,317,217
2,9,9,25,40,55,88,115,182,258,385,539,762,798,861,695,626,405,269,192,118
5,4,13,20,30,35,64,104,185,287,366,529,677,808,779,787,611,439,357,225,156
2,4,13,18,46,64,91,137,183,310,491,656,743,781,777,640,542,342,275,162,124
5,16,28,34,37,80,147,228,368,508,742,804,844,816,679,503,371,254,163,105,67
2,1,3,7,8,27,41,78,152,238,347,514,743,929,919,789,615,469,291,196,114
3,11,18,35,38,54,103,175,227,461,561,752,878,848,800,656,402,341,221,129,95
4,5,2,2,11,20,32,40,63,91,170,276,441,660,872,985,858,708,557,376,275
4,5,7,10,8,11,16,9,13,37,31,28,61,84,104,234,346,541,685,778,850
2,5,4,7,8,5,10,22,49,59,95,157,269,429,657,744,893,821,737,672,480
8,12,24,30,65,93,127,178,243,371,457,686,755,819,760,635,534,330,225,134,88
5,7,16,19,21,32,47,66,108,173,268,355,614,662,775,834,700,612,478,350,236
2,2,3,6,11,6,11,13,10,22,21,41,77,173,240,367,496,690,807,863,784
3,7,7,14,15,28,28,44,78,115,201,260,389,545,752,854,858,728,608,447,274
6,17,30,51,56,71,100,165,319,465,682,736,743,710,710,534,404,316,197,127,83
7,9,21,37,58,117,156,239,340,465,689,810,817,787,635,548,374,260,182,153,79
3,7,10,16,35,56,71,105,200,332,477,658,762,820,762,672,553,416,296,173,119
3,0,5,3,8,24,24,50,106,153,220,363,486,664,750,761,798,679,543,351,260
5,9,13,22,36,59,73,116,194,281,413,534,684,740,820,752,601,463,354,245,170
3,3,3,3,18,34,75,114,162,239,355,469,657,714,819,809,635,523,347,216,140
5,5,21,28,40,76,91,177,231,402,547,711,807,807,746,626,508,339,271,171,93
2,5,5,12,6,7,10,29,34,37,85,146,248,361,524,711,851,849,724,601,489
2,5,1,7,21,22,35,64,130,217,320,437,636,782,790,829,631,549,408,306,189
1,1,4,7,9,23,29,24,42,63,103,186,295,453,582,738,789,763,808,610,429
2,5,15,30,51,71,90,169,267,408,571,658,766,771,781,556,408,324,224,155,104
3,7,14,14,19,34,52,98,152,255,376,558,698,796,836,756,661,482,391,265,171
2,1,2,3,4,5,2,9,16,32,68,92,161,212,366,522,688,750,962,816,723
3,6,5,14,38,64,130,188,300,440,598,810,955,945,749,553,360,244,165,125,66
6,10,13,16,24,48,61,127,202,324,473,622,682,847,805,721,559,439,310,202,132
3,8,8,6,8,12,27,44,82,122,213,284,573,727,849,897,766,650,520,375,287
6,4,9,16,43,70,136,237,327,515,680,730,932,901,749,535,362,245,140,91,56
9,16,29,61,103,178,277,389,582,700,760,745,732,570,482,329,233,186,114,64,49
7,12,28,32,49,77,129,172,260,401,537,685,801,840,807,640,450,286,203,134,93
2,1,0,2,5,18,40,95,160,285,420,600,761,907,944,795,631,431,304,195,135
6,5,12,28,62,110,151,205,355,508,631,764,783,761,625,532,388,279,200,141,95
2,2,2,3,4,15,31,32,42,64,120,215,323,476,687,782,842,741,635,571,365
